route,stops,types
17D AC,"BROADWAY,CENTRAL,EGMORE,MATERNITY HOSPITAL,D.P.I,STERLING ROAD,VETERINARY HOSPITAL,TRUSTPURAM,PUDUR HIGH SCHOOL,Jn.OF P.T.R Rd/KAMARAJ Rd,MUTHUMARIAMMAN KOIL,KALAIGNAR NAGAR",AC
593,"BROADWAY,PARRYS,CLIVE BATTERY,V. NAGAR,VYASARPADI,SARMA NAGAR,MOOLAKADAI,MADHAVARAM,CYCLE SHOP,KAVANGARAI,AAYURVEDA ASHRAMAM,RED HILLS,PADIYANALLUR,SEMILIVARAM,SHOLAVARAM,KARANODAI,PERIYAPALAYAM RD JN.,SAKTHI VINAYAGAR KOIL,PANDY KAVANOOR JN.,MANCHANKARANAI,KANNIGAIPEIR,DHARMAPURAM KANDIGAI,JEYAPURAM,AVADI ROAD JN.,DHARMAPURAM KANDIGAI,JEYAPURAM,AVADI ROAD JN.,THANDALAM",EXP
06D Dlx,"TOLLGATE,TONDAIAYRPET,THEAGARAYA COLLEGE,CLIVE BATTERY,PARRYS,SECRETARIAT,CHEPAUK,Q.M.C,FORE SHORE ESTATE,A.M.S.HOSPITAL,AVVAI HOME,BESANT NAGAR,INDIRA NAGAR,THIRUVANMIYUR",ORD
17M AC,"BROADWAY,CENTRAL,P.OR & SONS,T.V.S,GEMINI P.H,VETERINARY HOSPITAL,TRUSTPURAM,VADAPALANI B.S,VIRUGAMBAKKAM,VALASARAVAKKAM,PORUR,AYYAPPAN THANGAL",AC
71V,"BROADWAY,CENTRAL,DASAPRAKASH,TAYLORS ROAD,KILPAUK GARDEN,ICF ANNEXE,NATHAMUNI TALKIES,LUCAS TVS,AMBATHUR ESTATE,DUNLOP,AMB OT,THIRUMULLAIVOAYL,POLYTECHNIC,AVADI,KAVARAIPALAYAM,PATTABIRAM,NEMILICHERI,THIRUNINDRAVOOR,VEPPUMPATTU PULIYAMARAM,VEPPAMPATTU ESWARAN NAGAR",EXP
21G Cut,"BROADWAY,SECRETARIAT,CHEPAUK,Q.M.C,CONVENT,MANDAVELI,ADYAR GATE,KOTTURPURAM,ENG.COLLEGE,CONCORDE,GUINDY TVK ESTATE",ORD
06P Dlx,"THIRUVETRIYUR B.S,THIRUVOTRIYUR TEMPLE,THANGAL,TONDAIAYRPET,THEAGARAYA COLLEGE,CLIVE BATTERY,PARRYS,SECRETARIAT,CHEPAUK,Q.M.C,FORE SHORE ESTATE,A.M.S.HOSPITAL,ADAYAR B.S.,ENG.COLLEGE,GUINDY RACE COURCE OFFICE,SECRETARIAT COLONY,KAKKAN BRIDGE,BRINDAVAN COLONY,PUZHITHIVAKKAM B.S",ORD
M28D,"THIRUVETRIYUR B.S,THIRUVOTRIYUR TEMPLE,THANGAL,TONDAIAYRPET,THEAGARAYA COLLEGE,V. NAGAR,REGAL,CENTRAL,P.OR & SONS,T.V.S,D.M.S,POWER HOUSE,T.NAGAR",ORD
56D Ext,"BROADWAY,PARRYS,CLIVE BATTERY,ROYAPURAM P.S,TONDAIAYRPET,THANGAL,ELLAIAMMAN KOIL,T.V.T RLY GATE,MANALI RD JN.,MANALAI SEEKADU,MATHUR RD. JN.,",ORD
71E,"BROADWAY,CENTRAL,DASAPRAKASH,TAYLORS ROAD,KILPAUK GARDEN,ICF ANNEXE,NATHAMUNI TALKIES,LUCAS TVS,AMBATHUR ESTATE,DUNLOP,AMB OT,THIRUMULLAIVOAYL,POLYTECHNIC,AVADI CIRCLE,KAVARAIPALAYAM,PATTABIRAM,NEMILICHERI,THIRUNINDRAVOOR","EXP,ORD"
M18C Dlx,"T.NAGAR,SAIDAPET,CONCORDE,GUINDY R.S,ST THOMAS MOUNT PO,PAZAVANTHANGAL ROAD JN.,CHIDAMBARAM STORES,NANGANALLUR,MADIPAKKAM RD. JN.,KILKATTALAI",ORD
29N,"PERAMBUR B.S,JAMALAYA,DASAMAHAN,DOVETON,LADY MCTM SCHOOL/MILLERS,K.M.C,STERLING Rd/METEOROLOGY D,D.M.S,PONDY BAZAAR,T.NAGAR,SAIDAPET,CONCORDE,JN.OF RACE COURSE RD,GURUNANAK COLLEGE,VELACHERY",EXP
29L,"PERIYAR NAGAR,AGARAM,VEENUS,PERAMBUR B.S,GANESH PURAM,P1.POLICE STATION,DOVETON,DASAPRAKASH,EGMORE,ANNA ROAD P.O./DAMS ROAD,T.V.S,D.M.S,S.H.B,SAIDAPET,CONCORDE,ENG.COLLEGE,ADAYAR B.S.,ADAYAR DEPOT,THIRUVANMIYUR",EXP
29K,"C.M.B.T.,ARUMBAKKAM,NADUVANKARAI,AMINIJIKARAI,TAYLORS ROAD,STERLING Rd/METEOROLOGY D,U.S.I.S.,Y.M.I.A,MANDAVELI",ORD
M21F,"EGMORE,ANNA ROAD P.O./DAMS ROAD,WESLEY H.S,Y.M.I.A,MANDAVELI,A.M.S.HOSPITAL,ADAYAR O.T.,ADAYAR DEPOT,LATTICE BRIDGE,KANDANCHAVADI,THORAPPAKKAM TEA SHOP,EASWARAN TEMPLE/PTC QRTS.,KANNAGI NAGAR S.C.BOARD",ORD
M21G,"BROADWAY,SECRETARIAT,CHEPAUK,Q.M.C,CONVENT,MANDAVELI,ADYAR GATE,KOTTURPURAM,ENG.COLLEGE,CONCORDE,GUINDY TVK ESTATE",ORD
29E,"PERAMBUR B.S,JAMALAYA,DASAMAHAN,DOVETON,KELLEYS,KILPAUK GARDEN,AMINIJIKARAI,NADUVANKARAI,ARUMBAKKAM,NERKUNDRAM,MADURAVOYAL,VAANAGARAM,VELAPPANCHAVADI,THIRUVERKADU",ORD
29B,"PERAMBUR R.S,JAMALAYA,DASAMAHAN,DOVETON,LADY MCTM SCHOOL/MILLERS,K.M.C,STERLING Rd/METEOROLOGY D,D.M.S,PONDY BAZAAR,T.NAGAR,SAIDAPET",ORD
29C,"PERAMBUR R.S,JAMALAYA,SHIVASHANMUGAPURAM,LADY MCTM SCHOOL/MILLERS,K.M.C,STERLING Rd/METEOROLOGY D,U.S.I.S.,Y.M.I.A,DEVANATHAN ST / MANDAVELI,A.M.S.HOSPITAL,ADAYAR B.S.,ADAYAR DEPOT,BESANT NAGAR","ORD,EXP"
29A,"PERAMBUR B.S,JAMALAYA,DASAMAHAN,DOVETON,DHARMAPRAKASH/PETROL BUNK,EGMORE,ANNA POORNA HOTEL/DAMS RD,TRIPLICANE,ANNA SQUARE",ORD
57 Dlx,"V. NAGAR,VYASARPADI,SARMA NAGAR,MOOLAKADAI,MADHAVARAM,CYCLE SHOP,KAVANGARAI,AAYURVEDA ASHRAMAM,RED HILLS",ORD
07M AC,"BROADWAY,CENTRAL,DOVETON,KELLEYS,KILPAUK GARDEN,ANNA NAGAR CIRCLE,THIRUMANGALAM,GOLDEN FLAT,MOGAPAIR WEST",AC
170B,"T.V.K.NAGAR,S.R.P. COLONY,KOLATHUR,MALLIGAI NAGAR AVE,WATER PIPE THANTHANKUPPAM,WEELS INDIA RD.JN.,THIRUMANGALAM,KOYAMBEDU SCHOOL,M.M.D.A.COLONY RD.JN.,JN OF III AND 1ST AVE,JAFFARKHAN PET,CIPET,ST THOMAS MOUNT PO,MENAMABAKKAM OLD AIRPORT,THIRUSOOLAM NATIONAL AIRP,PALLAVARAM,CHROMPET,T.B.SANATORIUM,TAMBARAM",EXP
54 Dlx,"HIGH COURT,CENTRAL,PERIYAR BRIDGE,T.V.S,D.M.S,S.H.B,SAIDAPET,CONCORDE,GUINDY R.S,BUTT ROAD,RAMAPURAM,MOGALIVAKKAM,PORUR,AYYAPPAN THANGAL,KUMUNANCHAVADI,POONAMALLEE",ORD
07H AC,"BROADWAY,CENTRAL,DOVETON,KELLEYS,KILPAUK GARDEN,ANNA NAGAR CIRCLE,THIRUMANGALAM,FIRE STATION,MOGAPAIR EAST",AC
170E,"I.O.C,KORUKKUPET,SLUM CLEARANCE BOARD,KAVIARASU KANNADASAN NAGA,MOOLAKADAI,MADHAVARAM,BUS BAY-17TH KM,MALLIGAI NAGAR AVE,WATER PIPE THANTHANKUPPAM,WEELS INDIA RD.JN.,THIRUMANGALAM,KOYAMBEDU SCHOOL,M.M.D.A.COLONY RD.JN.,JN OF III AND 1ST AVE,JAFFARKHAN PET,CIPET,ST THOMAS MOUNT PO,MENAMABAKKAM OLD AIRPORT,THIRUSOOLAM NATIONAL AIRP,PALLAVARAM,CHROMPET,T.B.SANATORIUM,TAMBARAM",EXP
170G,"PERIYAR NAGAR,AGARAM,S.R.P. COLONY,KOLATHUR,MALLIGAI NAGAR AVE,WATER PIPE THANTHANKUPPAM,WEELS INDIA RD.JN.,THIRUMANGALAM,KOYAMBEDU SCHOOL,M.M.D.A.COLONY RD.JN.,JN OF III AND 1ST AVE,JAFFARKHAN PET,CIPET,GUINDY TVK ESTATE",EXP
M21V,"CENTRAL,P.OR & SONS,WESLEY H.S,Y.M.I.A,MANDAVELI,A.M.S.HOSPITAL,ADAYAR DEPOT,LATTICE BRIDGE,KANDANCHAVADI,THORAPPAKKAM TEA SHOP,OKKIYAM THORAIPAKKAM SEC.",ORD
M15L Cut,"BROADWAY,CENTRAL,DRY CATTLLE FORM,TAYLORS ROAD,AMINIJIKARAI,ANNA NAGAR CIRCLE,THIRUMANGALAM,MOGAIPAIR ROAD JN.,AMBATHUR ESTATE,ATHIPET JN,ATHIPET I.C.F. COLONY",ORD
170K,"AMB OT,DUNLOP,AMBATHUR ESTATE,LUCAS TVS,THIRUMANGALAM,KOYAMBEDU SCHOOL,M.M.D.A.COLONY RD.JN.,JN OF III AND 1ST AVE,JAFFARKHAN PET,CIPET,ST THOMAS MOUNT PO,MENAMABAKKAM OLD AIRPORT,THIRUSOOLAM NATIONAL AIRP,PALLAVARAM,CHROMPET,T.B.SANATORIUM,TAMBARAM,IRUMBULIYUR,PERUNGULATHUR,VANDALOOR,VANDALOOR ZOO,OORAPAKKAM SCHOOL,PALAKKA COMPANY,GUDUVANCHERY",EXP
170M,"MANALI,MANALAI SEEKADU,MADHAVARAM MILLK COLONY,MADHAVARAM POST BOX,MOOLAKADAI,T.V.K.NAGAR,S.R.P. COLONY,KOLATHUR,MALLIGAI NAGAR AVE,WATER PIPE THANTHANKUPPAM,WEELS INDIA RD.JN.,THIRUMANGALAM,KOYAMBEDU SCHOOL,M.M.D.A.COLONY RD.JN.,JN OF III AND 1ST AVE,JAFFARKHAN PET,CIPET,GUINDY TVK ESTATE,CONCORDE,JN.OF RACE COURSE RD,GURUNANAK COLLEGE,VELACHERY",EXP
159A Dlx,"THIRUVETRIYUR B.S,THRUVOTRIYUR TEMPLE,THANGAL,TONDAIAYRPET,THEAGARAYA COLLEGE,V. NAGAR,REGAL,CHOOLAI P.O,LADY MCTM SCHOOL/MILLERS,TAYLORS ROAD,AMINIJIKARAI,NADUVANKARAI,ARUMBAKKAM,C.M.B.T.",ORD
01A,"THIRUVETRIYUR B.S,THIRUVOTRIYUR TEMPLE,THANGAL,ANNA NAGAR,ROYAPURAM P.S,CLIVE BATTERY,PARRYS,CENTRAL,P.OR & SONS,WESLEY H.S,Y.M.I.A,DEVANATHAN ST / MANDAVELI,A.M.S.HOSPITAL,ADAYAR O.T.,ADAYAR DEPOT,THIRUVANMIYUR","ORD,ORD,EXP"
01B,"THIRUVETRIYUR B.S,THIRUVOTRIYUR TEMPLE,THANGAL,ANNA NAGAR,ROYAPURAM P.S,CLIVE BATTERY,PARRYS,CENTRAL,P.OR & SONS,T.V.S,D.M.S,S.H.B,SAIDAPET,CONCORDE,GUINDY R.S,ST THOMAS MOUNT PO,MENAMABAKKAM OLD AIRPORT,THIRUSOOLAM NATIONAL AIRP,PALLAVARAM,CHROMPET,T.B.SANATORIUM,TAMBARAM","EXP,NGT"
01C,"ENNORE,ASHOK LAYLAND,ERNAVOOR GATE,THIRUVETRIYUR B.S,THRUVOTRIYUR TEMPLE,THANGAL,ANNA NAGAR,ROYAPURAM P.S,CLIVE BATTERY,PARRYS,CENTRAL,P.OR & SONS,WESLEY H.S,Y.M.I.A,DEVANATHAN ST / MANDAVELI,A.M.S.HOSPITAL,ADAYAR O.T.,ADAYAR DEPOT,THIRUVANMIYUR","EXP,ORD"
01D,"ENNORE,THAZHANKUPPAM,KOTHARI,ASHOK LEYLAND MARK.DIV.,I.C.I.,CORBORUNDUM UNIVERSAL,BUILDERS INDUSTRY,BURMAH SHELL PETROL BUNK,ANNA NAGAR,ROYAPURAM P.S,CLIVE BATTERY,PARRYS,CENTRAL,P.OR & SONS,WESLEY H.S,Y.M.I.A,DEVANATHAN ST / MANDAVELI,A.M.S.HOSPITAL,ADAYAR O.T.,ADAYAR DEPOT,THIRUVANMIYUR","ORD,EXP"
01G,"THIRUVETRIYUR B.S,THIRUVOTRIYUR TEMPLE,THANGAL,ANNA NAGAR,ROYAPURAM P.S,CLIVE BATTERY,PARRYS,CENTRAL,P.OR & SONS,T.V.S,D.M.S,S.H.B,SAIDAPET,CONCORDE,JN.OF RACE COURSE RD,GURUNANAK COLLEGE,VELACHERY",EXP
M61E Cut,"KOYMABEDU MARKET,KOYAMBEDU P.S,KOYAMBEDU SCHOOL,THIRUMANGALAM,MOGAIPAIR ROAD JN.,AMBATHUR ESTATE,DUNLOP,AMB OT,THIRUMULLAIVOAYL,POLYTECHNIC,AVADI CIRCLE,KOILPATHAGAI RD.JN.,H.V.F.MAIN GATE,AAFS CROSS ROAD,VENGAL CROSS ROAD,VEERAPURAM RD JN.,ARAKKAMBAKKAM,PANDESWARAM,KADHAVOOR RD.JN.,KILKONDAIYUR",ORD
41G,"ORAGADAM,ORAGADAM O.T.,AMB OT,DUNLOP,AMBATHUR ESTATE,MOGAIPAIR ROAD JN.,THIRUMANGALAM,ANNA NAGAR CIRCLE,AMINIJIKARAI,TAYLORS ROAD,STERLING RD./METROLOG. DE,U.S.I.S.,Y.M.I.A,DEVANATHAN ST / MANDAVELI,A.M.S.HOSPITAL,ADAYAR O.T.,ADAYAR DEPOT,THIRUVANMIYUR",ORD
17,"BROADWAY,CENTRAL,PERIYAR BRIDGE,EGMORE,T.B.INSTITUTE,STERLING Rd/METEOROLOGY D,UTHAMAR GANDHISALAI (CORP,MAHALINGAPURAM,TRUSTPURAM,VADAPALANI B.S",ORD
M61D Ext,"BROADWAY,CENTRAL,DHARMAPRAKASH/PETROL BUNK,KELLEYS,SAYANI/AYNAVARAM,KAMABAR ARANGAM,NATHAMUNI TALKIES,LUCAS TVS,AMBATHUR ESTATE,DUNLOP,AMB OT,THIRUMULLAIVOAYL,POLYTECHNIC,AVADI CIRCLE,KOILPATHAGAI RD.JN.,H.V.F.MAIN GATE,AAFS CROSS ROAD,VENGAL CROSS ROAD,VEERAPURAM RD JN.,MORAI,KADHAVOOR,KADHAVOOR RD.JN.,KILKONDAIYUR",ORD
596 Dlx,"C.M.B.T.,KOYAMBEDU SCHOOL,NERKUNDRAM,MADURAVOYAL,VAANAGARAM,VELAPPANCHAVADI,KUMUNANCHAVADI,POONAMALLEE,VARADARAJA PURAM,THIRUMALISAI,VELLAVEDU,NEMAM,PUTHUCHATHIRAM,METTUKANDIGAI,MURUKKANCHERI,ARANVOYAL KUPPAM,ARANVOYAL,VENKATHUR,MANAVALAN NAGAR,OIL MILL,THIRUVALLUR",ORD
M15F Cut,"BROADWAY,CENTRAL,DASAPRAKASH,TAYLORS ROAD,AMINIJIKARAI,NADUVANKARAI,ARUMBAKKAM,KOYAMBEDU P.S,KOYMABEDU MARKET",ORD
M71F,"HIGH COURT,CENTRAL,DASAPRAKASH,TAYLORS ROAD,KILPAUK GARDEN,ICF ANNEXE,NATHAMUNI TALKIES,LUCAS TVS,AMBATHUR ESTATE,DUNLOP,AMB OT,KANNAN THEATER,SENTHIL NAGAR",ORD
12G Dlx,"ANNA SQUARE,V.HOUSE TERMINUS,V.M.STREET,LUZ,F.C.I OLD,PONDY BAZAAR,ANJUGAM SCHOOL,GOVT. GIRLS H.SC,Jn.OF P.T.R Rd/KAMARAJ Rd,MUTHUMARIAMMAN KOIL,KALAIGNAR NAGAR",ORD
M18M Dlx,"VADAPALANI B.S,Jn.OF P.T.R Rd/KAMARAJ Rd,MUTHUMARIAMMAN KOIL,KALAIGNAR NAGAR,JAFFARKHAN PET,CIPET,GUINDY R.S,ST THOMAS MOUNT,MENAMABAKKAM OLD AIRPORT,THIRUSOOLAM NATIONAL AIRP,PALLAVARAM,CHROMPET,T.B.SANATORIUM,TAMBARAM",ORD
M116AC,"BROADWAY,PARRYS,CLIVE BATTERY,V. NAGAR,VYASARPADI,M.K.B.NAGAR EAST",ORD
41D Dlx,"MANDAVELI,ADYAR GATE,DEFENCE QUARTERS,D.M.S,STERLING ROAD,TAYLORS ROAD,AMINIJIKARAI,ANNA NAGAR CIRCLE,THIRUMANGALAM,LUCAS TVS,JN.OF CENTRAL AVENUE&ERIK;,VINAYAGAR KOIL,DUNLOP,AMB OT,THIRUMULLAIVOAYL,POLYTECHNIC,AVADI",ORD
M54A,"POONAMALLEE,VARADARAJA PURAM,THIRUMALISAI,VELLAVEDU,ANDERSONPET,PUTHUCHATHIRAM,KOTYAMEDU,KOSAPALAYAM,THIRUNINDRAVOOR,THIRUNINDRAVOOR RLY.STN.",ORD
595,"TOLLGATE,THIRUVOTRIYUR TEMPLE,THIRUVETRIYUR B.S,ERNAVOOR GATE,SATHIYAMOORTHY NAGAR,JN.,OF PONNERI RD,&ERANOO;,ANDAKUPPAM,ECHANKUZHI,NAPALAYAM,KONDAKKARAI,PATTAMANDIRI,MINJUR B.D.O,MINJUR,NEITHAVOYAL,VAYALUR,KATTUR,ABIRAMI MADAM,KADAPAKKAM,THATHANMANJI,KATTUR ROAD JN.,PERLIYAMBAKKAM,POLLACHIAMMANKULAM,PULICUT PANCHAYAT LIMIT,PAZHAVERKADU",EXP
M66A,"HASTHINAPURAM,KUMARAN KUNDRAM,CHROMPET,PALLAVARAM,PAMMAL,ANAKAPUTHUR,ANDAKUPPAM,KUNDRATHUR B.S",ORD
10A,"TOLLGATE,TONDAIAYRPET,ROYAPURAM P.S,CLIVE BATTERY,PARRYS,CENTRAL,EGMORE,MATERNITY HOSPITAL,D.P.I,UTHAMAR GANDHISALAI (CORP,VIDYODAYA,PONDY BAZAAR,T.NAGAR,SRINIVASA THEATER,SAIDAPET WEST",ORD
11G,"BROADWAY,CENTRAL,P.OR & SONS,T.V.S,D.M.S,PONDY BAZAAR,ANJUGAM SCHOOL,GOVT. GIRLS H.SC,Jn.OF P.T.R Rd/KAMARAJ Rd,MUTHUMARIAMMAN KOIL,KALAIGNAR NAGAR WEST",ORD
C70 Ext Dlx,"GUINDY TVK ESTATE,CIPET,JAFFARKHAN PET,JN OF III AND 1ST AVE,M.M.D.A.COLONY RD.JN.,KOYAMBEDU SCHOOL,THIRUMANGALAM,WEELS INDIA RD.JN.,WATER PIPE THANTHANKUPPAM,MALLIGAI NAGAR AVE,VINAYAGAPURAM,KATHIRVEDU,KAVANGARAI,AAYURVEDA ASHRAMAM,RED HILLS,PADIYANALLUR",ORD
10E,"BROADWAY,CENTRAL,EGMORE,MATERNITY HOSPITAL,D.P.I,STERLING ROAD,VIDYODAYA,VIVEK & CO (KRISHNAN KOIL,T.NAGAR,SRINIVASA THEATER,GOVT. GIRLS H.SC,JAFFARKHAN PET,EKKATTUTHANGAL",ORD
M54S,"T.NAGAR,SAIDAPET,CONCORDE,GUINDY R.S,BUTT ROAD,RAMAPURAM,MOGALIVAKKAM,PORUR,AYYAPPAN THANGAL,KUMUNANCHAVADI,POONAMALLEE,LAKSHMIPURAM JN./AROBINDO,THANGAL ERIKKARAI,VADAKKU MALAIAMBAKKAM",ORD
